Title,Assay,AssayFam,Carba,DoubleSampling,HighPos,Hpv,Japan,MatRev,MaterialCodes,Na,PartNr,Product,SealAssay,TemplatePath,Ultra
GXCARBARCE10,CARBA,,Yes,No,No,No,,D18272,GXCARBAR-CE-10;D18272,N/A,700-4186,GXCARBARCE10,Carba-R,CARBA-R,No
GXVANA/B-CE-10,VAN AB,,No,No,No,No,,D55782,GXVANA/B-CE-10;D55782,N/A,700-3882,GXVANA/B-CE-10,Van A,VANA-VANB,No
XPRSTREPA-CE-10,STREP A,,No,No,Yes,No,,D27089,XPRSTREPA-CE-10;D27089,N/A,700-5360,XPRSTREPA-CE-10,Strep A,STREP A,No
XPRSTREPA-10,STREP A,,No,No,Yes,No,,D27089,XPRSTREPA-10;D27089,N/A,700-5420,XPRSTREPA-10,Strep A,STREP A,No
XPRSFLURSVCE10,FLURSV,,No,No,Yes,No,,D26120,XPRSFLU/RSV-CE-10;D26120,NA,700-5164,XPRSFLURSVCE10,Flu,FLU,No
XPRSFLU10,FLU,,No,No,Yes,No,,D26120,XPRSFLU-10;D26120,NA,700-5260,XPRSFLU10,Flu,FLU,No
XPRSFLURSV10,FLURSV,,No,No,Yes,No,,D26120,XPRSFLU/RSV-10;D26120,NA,700-5252,XPRSFLURSV10,Flu,FLU,No
GXNOV-CE-10,NORO,,No,No,Yes,No,,D17716,GXNOV-CE-10;D17716,N/A,700-4147,GXNOV-CE-10,Norovirus,Xpert Norovirus,No
GXNOV-10,NORO,,No,No,Yes,No,,D17716,GXNOV-10;D17716,N/A,700-4147,GXNOV-10,Norovirus,Xpert Norovirus,No
GXNOV-GB-10,NORO,,No,No,Yes,No,,D17716,GXNOV-GB-10;D17716,N/A,700-9547,GXNOV-GB-10,Norovirus,Xpert Norovirus,No
GXEBOLA-CE-10,EBOLA,,No,No,Yes,No,,D21938,GXEBOLA-CE-10;D21938,N/A,700-4731,GXEBOLA-CE-10,Ebola,Ebola,No
GXEBOLA-CE-50,EBOLA,,No,No,Yes,No,,D21938,GXEBOLA-CE-50;D21938,N/A,700-4731,GXEBOLA-CE-50,Ebola,Ebola,No
